120.01, 0.15, 0
120.02, 0.23, 0
120.03, 0.27, 1
120.04, 0.27, 1
120.05, 0.28, 1
120.06, 0.28, 1
120.07, 0.21, 0
120.08, 0.13, 0
120.09, 0.09, 0
120.10, 0.10, 0
120.11, 0.08, 0
120.12, 0.11, 0
120.13, 0.18, 0
120.14, 0.18, 0
120.15, 0.14, 0
120.16, 0.13, 0
120.17, 0.17, 0
120.18, 0.18, 0
120.19, 0.25, 0
120.20, 0.33, 1
120.21, 0.36, 1
120.22, 0.36, 1
120.23, 0.38, 1
120.24, 0.40, 1
120.25, 0.37, 1
120.26, 0.32, 1
120.27, 0.27, 1
120.28, 0.21, 0
120.29, 0.18, 0
120.30, 0.15, 0
120.31, 0.12, 0
120.32, 0.07, 0
120.33, 0.04, 0
120.34, 0.21, 0
120.35, 0.31, 1
120.36, 0.28, 1
120.37, 0.25, 0
120.38, 0.24, 0
120.39, 0.19, 0
120.40, 0.23, 0
120.41, 0.26, 1
120.42, 0.27, 1
120.43, 0.28, 1
120.44, 0.27, 1
120.45, 0.23, 0
120.46, 0.17, 0
120.47, 0.11, 0
120.48, 0.13, 0
120.49, 0.11, 0
120.50, 0.15, 0
120.51, 0.16, 0
120.52, 0.21, 0
120.53, 0.28, 1
120.54, 0.33, 1
120.55, 0.40, 1
120.56, 0.42, 1
120.57, 0.40, 1
120.58, 0.36, 1
120.59, 0.23, 0
120.60, 0.12, 0
120.61, 0.10, 0
120.62, 0.10, 0
120.63, 0.10, 0
120.64, 0.01, 0
120.65, 0.05, 0
120.66, 0.12, 0
120.67, 0.18, 0
120.68, 0.24, 0
120.69, 0.31, 1
120.70, 0.38, 1
120.71, 0.44, 1
120.72, 0.48, 1
120.73, 0.46, 1
120.74, 0.39, 1
120.75, 0.28, 1
120.76, 0.17, 0
120.77, 0.10, 0
120.78, 0.13, 0
120.79, 0.15, 0
120.80, 0.18, 0
120.81, 0.18, 0
120.82, 0.16, 0
120.83, 0.10, 0
120.84, 0.11, 0
120.85, 0.19, 0
120.86, 0.26, 1
120.87, 0.30, 1
120.88, 0.34, 1
120.89, 0.31, 1
120.90, 0.21, 0
120.91, 0.12, 0
120.93, 0.09, 0
120.93, 0.11, 0
120.94, 0.15, 0
120.95, 0.13, 0
120.96, 0.13, 0
120.97, 0.14, 0
120.98, 0.16, 0
120.99, 0.23, 0
121.00, 0.32, 1
121.01, 0.39, 1
121.02, 0.46, 1
121.03, 0.47, 1
121.04, 0.46, 1
121.05, 0.42, 1
121.06, 0.37, 1
121.07, 0.29, 1
121.08, 0.21, 0
121.09, 0.14, 0
121.10, 0.15, 0
121.11, 0.14, 0
121.12, 0.19, 0
121.13, 0.21, 0
121.14, 0.24, 0
121.15, 0.26, 1
121.16, 0.26, 1
121.17, 0.23, 0
121.18, 0.20, 0
121.19, 0.14, 0
121.20, 0.09, 0
121.21, 0.05, 0
121.22, 0.09, 0
121.23, 0.14, 0
121.24, 0.18, 0
121.25, 0.15, 0
121.26, 0.06, 0
121.27, 0.07, 0
121.28, 0.12, 0
121.29, 0.20, 0
121.30, 0.32, 1
121.31, 0.46, 1
121.32, 0.57, 1
121.33, 0.62, 1
121.34, 0.66, 1
121.35, 0.61, 1
121.36, 0.50, 1
121.37, 0.38, 1
121.38, 0.23, 0
121.39, 0.14, 0
121.40, 0.12, 0
121.41, 0.16, 0
121.42, 0.17, 0
121.43, 0.15, 0
121.44, 0.12, 0
121.45, 0.04, 0
121.46, 0.06, 0
121.47, 0.13, 0
121.48, 0.19, 0
121.49, 0.18, 0
121.50, 0.23, 0
121.51, 0.25, 0
121.52, 0.18, 0
121.53, 0.16, 0
121.54, 0.16, 0
121.55, 0.11, 0
121.56, 0.09, 0
121.57, 0.13, 0
121.58, 0.20, 0
121.59, 0.28, 1
121.60, 0.34, 1
121.61, 0.34, 1
121.62, 0.30, 1
121.63, 0.27, 1
121.64, 0.27, 1
121.65, 0.33, 1
121.66, 0.43, 1
121.67, 0.52, 1
121.68, 0.51, 1
121.69, 0.46, 1
121.70, 0.43, 1
121.71, 0.33, 1
121.72, 0.26, 1
121.73, 0.20, 0
